batch_size,test_accuracy,test_loss,train_time_sec,final_train_acc,final_val_acc
16,0.8841961622238159,0.975214421749115,805.2,0.9687868356704712,0.8973193764686584
128,0.8869209885597229,0.7354744672775269,900.8,0.9789016246795654,0.9032257795333862
32 (published baseline),0.8806,0.9863,,,
